run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s13_l2a_RedBullPlayStreets,0,1.13255,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s13_l2a_RedBullPlayStreets,1,0.277772,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s13_l2a_RedBullPlayStreets,2,0.209176,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONT_s13_l2a_RedBullPlayStreets,3,0.269144,0,0.0,0.0,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,2498983.0,41.103,40.592,0.511,0.486385
CONT_s13_l2a_RedBullPlayStreets,4,0.188714,0,0.0,0.0,0,0.0,0.0,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,2498983.0,41.103,40.592,0.511,0.486385
CONT_s13_l2a_RedBullPlayStreets,5,2.344777,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,2498983.0,41.103,40.592,0.511,0.486385
CONT_s13_l2a_RedBullPlayStreets,6,0.442616,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,2498983.0,41.103,40.592,0.511,0.486385
CONT_s13_l2a_RedBullPlayStreets,7,0.448211,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,2498983.0,41.103,40.592,0.511,0.486385
CONT_s13_l2a_RedBullPlayStreets,8,0.442939,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,2498983.0,41.103,40.592,0.511,0.486385
CONT_s13_l2a_RedBullPlayStreets,9,2.072389,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,1,2498983.0,40.592,2498983.0,41.103,40.592,0.511,0.486385
